시리즈,선형번호,프루드수_Fn,전저항_Rt/Δ×10³
Delft,Delft-48,0.449995578,49.74902103
Delft,Delft-48,0.499770722,76.62230331
Delft,Delft-48,0.550050686,95.69629661
Delft,Delft-48,0.599926794,111.2296085
Delft,Delft-48,0.649903866,121.9495517
Delft,Delft-48,0.699981902,129.6509417
Delft,Delft-48,0.750059938,136.2264928
Delft,Delft-49,0.09975219,0.498920575
Delft,Delft-49,0.149931177,1.324720149
Delft,Delft-49,0.199807272,2.632236139
Delft,Delft-49,0.250390114,4.576305968
Delft,Delft-49,0.300266209,7.965525049
Delft,Delft-49,0.349738449,12.98913912
Delft,Delft-49,0.399109725,23.36324626
Delft,Delft-49,0.449288712,44.78242268
Delft,Delft-49,0.500982155,68.98867267
Delft,Delft-49,0.550454395,86.15842213
Delft,Delft-49,0.600027599,103.3453757
Delft,Delft-49,0.649701766,115.5087153
Delft,Delft-49,0.699174007,124.7129397
Delft,Delft-49,0.749050102,132.489219
Delft,Delft-50,0.099550263,0.618828489
Delft,Delft-50,0.149931177,1.426743461
Delft,Delft-50,0.199908236,2.647210758
Delft,Delft-50,0.250390114,4.589644626
Delft,Delft-50,0.300165245,7.649407711
Delft,Delft-50,0.349940376,12.84069115
Delft,Delft-50,0.399614544,24.08274203
Delft,Delft-50,0.449288712,46.37775731
Delft,Delft-50,0.501184082,74.34536708
Delft,Delft-50,0.550656322,94.71513817
Delft,Delft-50,0.60033049,114.2769943
Delft,Delft-50,0.650105621,126.498857
Delft,Delft-50,0.699678825,134.990559
Delft,Delft-60,0.10005499,0.663684232
Delft,Delft-60,0.124993015,1.061894772
Delft,Delft-60,0.150032004,1.504350927
Delft,Delft-60,0.174970029,2.05742112
Delft,Delft-60,0.200009017,2.632614121
Delft,Delft-60,0.225048006,3.517526431
Delft,Delft-60,0.249986031,4.579421203
Delft,Delft-60,0.275025019,5.420087897
Delft,Delft-60,0.300064008,7.035052862
Delft,Delft-60,0.325002033,8.937614328
Delft,Delft-60,0.350041021,11.85782495
Delft,Delft-60,0.374979046,15.77356192
Delft,Delft-60,0.400018035,23.11833409
Delft,Delft-60,0.425057023,33.64879058
Delft,Delft-60,0.449995048,43.69254529
Delft,Delft-60,0.475034036,55.68310709
Delft,Delft-60,0.500073025,66.10294954
Delft,Delft-60,0.52501105,73.97866909
Delft,Delft-60,0.550050038,82.2968448
Delft,Delft-60,0.575089027,90.39379244
Delft,Delft-60,0.600027052,96.78728388
Delft,Delft-61,0.099949216,0.619170976
Delft,Delft-61,0.124986999,1.105662458
Delft,Delft-61,0.149923823,1.658493687
Delft,Delft-61,0.174961607,2.277664664
Delft,Delft-61,0.199898431,2.764156145
Delft,Delft-61,0.224936214,3.781365606
Delft,Delft-61,0.249873039,4.842801566
Delft,Delft-61,0.274910822,5.815784529
Delft,Delft-61,0.299847647,7.761750455
Delft,Delft-61,0.32488543,9.774056129
Delft,Delft-61,0.349822254,12.44975928
Delft,Delft-61,0.374860038,16.78395611
Delft,Delft-61,0.399796862,24.74472581
Delft,Delft-61,0.424834646,33.50157248
Delft,Delft-61,0.44977147,46.150351
Delft,Delft-61,0.474809253,55.68116139
Delft,Delft-61,0.499746078,67.90978817
Delft,Delft-61,0.524783861,76.2464831
Delft,Delft-61,0.549720686,84.95910327
Delft,Delft-61,0.574758469,93.40636445
Delft,Delft-61,0.599695293,100.1066789
Delft,Delft-62,0.100050174,0.57619205
Delft,Delft-62,0.124986999,0.952933006
Delft,Delft-62,0.150024782,1.39615766
Delft,Delft-62,0.174961607,1.994510942
Delft,Delft-62,0.19999939,2.526380527
Delft,Delft-62,0.225037173,3.36850737
Delft,Delft-62,0.249973998,4.387924073
Delft,Delft-62,0.275011781,5.495985708
Delft,Delft-62,0.300049564,6.648369808
Delft,Delft-62,0.324986389,8.864493078
Delft,Delft-62,0.350024172,11.01413265
